KEGG Pathway and Enzyme ID	Gene name
04070+3.1.4.11	PLCB2
00562+3.1.4.11	PLCB2
	NCR1
	TMEM230
	TLR6
	CTSA
	NCR1
	BTBD7
	TLR6
	MBD3L3
	CTSA
	NCR1
04070+3.1.4.11	PLCB2
00562+3.1.4.11	PLCB2
	ZC3HAV1L
	UBR7
	CTSA
	TAGLN
	UBR7
	CTSA
	UBR7
	OR52B2
	TAGLN
	PGF
	OR56B4
	PGF
	CTSA
	PGF
	TAGLN
	JAM3
	TAGLN
	UBR7
	CTSA
	OR52W1
	RASGEF1C
	DYNLT1
	UBR7
	UBR7
	TMEM230
	UBR7
	RASGEF1C
	RAD23A
	TAGLN
	CTSA
	AL110118.2
	PGF
	TMEM230
	TMEM230
	TAGLN
	RASGEF1C
	AL110118.2
	TMEM230
	TMEM230
	TAGLN
	TMEM251
	MMS19
00230+2.7.1.25	PAPSS1
00920+2.7.1.25	PAPSS1
00450+2.7.7.4	PAPSS1
00230+2.7.7.4	PAPSS1
00261+2.7.7.4	PAPSS1
00920+2.7.7.4	PAPSS1
	RASGEF1C
	TBC1D19
	TMEM251
	TMEM230
	DDB2
	RNF146
	TMEM230
	RASGEF1C
	TMEM230
	GON7
	GRAMD2A
	GON7
	KRTAP27-1
	BTBD7
	KRTAP23-1
	BTBD7
	RAD23A
	KRTAP13-2
	PENK
	BTBD7
	PENK
	C1QL2
	CERS4
	RNF146
	CERS4
	BTBD7
	KRTAP13-1
	BTBD7
	CABLES2
	JAM3
	BTBD7
	JAM3
	SPDYE6
	CERS4
	CABLES2
	JAM3
	RAD23A
	CERS4
	GRAMD2A
	KRTAP13-3
	CERS4
	GRAMD2A
	AC004080.3
	KRTAP13-4
	CFB
	TC2N
	GRAMD2A
	RAD23A
	PENK
	GRAMD2A
	CFB
00740+2.7.1.26	RFK
	CCDC127
	RAD23A
	TC2N
	PENK
	CT47A5
00740+2.7.1.26	RFK
	PENK
	TC2N
	CCDC127
	PENK
	KRTAP15-1
	CERS4
	TC2N
	RAD23A
	CERS4
	TC2N
	RAD23A
	RAD23A
